TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
Point 127,,,,,0.0001498,0.00019852,0.00025214,0.0003311,0.00031164,0.0004018,0.00036372,0.00045052,0.00041972,0.00050456
Point 128,,,,,0.0001414,0.00020608,0.00024178,0.0003444,0.00030016,0.00042266,0.00034916,0.0004795,0.00040124,0.00054054
Point 129,,,,,0.00014658,0.00022064,0.00024654,0.0003682,0.00030492,0.00045486,0.0003528,0.00052458,0.00040348,0.00060326
Point 130,,,0.00013867,0.00013426,0.00018753,0.00015148,0.00030429,0.00024598,0.00037681,0.00028714,0.00044597,0.00028462,0.00051849,0.00028826
Point 131,,,0.00014315,0.00014154,0.00019285,0.00016464,0.00031269,0.00027006,0.00038549,0.00031934,0.00045325,0.00032886,0.00052857,0.00034258
Point 132,,,,,0.00017654,0.00014504,0.00028938,0.00023394,0.0003577,0.00027244,0.00042406,0.00026544,0.00048986,0.000266
Point 133,,,,,0.00019033,0.00014665,0.00030751,0.00023583,0.00038045,0.00027405,0.00044989,0.00026677,0.00052297,0.00026621
Point 134,,,,,0.00017598,0.00016968,0.00028868,0.0002772,0.00035392,0.00032998,0.00041524,0.00034846,0.00048216,0.00037058
Point 135,,,,,0.00018991,0.000161,0.00030779,0.0002618,0.00037961,0.00030758,0.00044681,0.00031318,0.00051905,0.00032298
Point 136,,,,,0.00018186,0.00016744,0.00029652,0.00027384,0.00036484,0.00032466,0.00042756,0.00033866,0.00049784,0.00035742
Point 137,,,,,0.00018774,0.00017283,0.00030352,0.00028357,0.00037338,0.00033761,0.00043722,0.00035721,0.00050862,0.00037709
Point 138,,,,,0.00017115,0.00019047,0.00028189,0.00031612,0.00034391,0.0003815,0.00040005,0.0004242,0.00046249,0.00046872
Point 139,,,,,0.00018193,0.00019355,0.00029463,0.00032088,0.00036043,0.00038836,0.00041741,0.0004305,0.00048601,0.0004753
Point 140,,,,,0.00016002,0.00022834,0.00026544,0.00038353,0.0003248,0.00047999,0.00037128,0.00056203,0.0004228,0.00065807
Point 141,,,,,0.00015974,0.0001939,0.00026579,0.00032277,0.00032669,0.00038997,0.00038101,0.00043617,0.00043953,0.00048629
Point 142,,,,,0.00015029,0.00021189,0.00025403,0.00035448,0.00031409,0.00043708,0.00036477,0.00050022,0.00042021,0.00057106
Point 143,,,,,0.00015904,0.00021231,0.00026502,0.00035364,0.00032564,0.0004361,0.0003766,0.00050008,0.00043204,0.0005698
Point 144,,,,,0.00014252,0.00023947,0.00024262,0.00040145,0.00030142,0.00050659,0.0003458,0.00059885,0.00039116,0.00071029
Point 145,,,,,0.00015414,0.00023989,0.00025606,0.00040201,0.00031556,0.00050715,0.00035994,0.00059941,0.00040782,0.00071281
Point 146,,,,,0.00016877,0.000217,0.00027825,0.00036232,0.00033971,0.00044786,0.00038857,0.00051912,0.00044569,0.00059332
Point 147,,,,,0.00017857,0.00021434,0.00028973,0.00035784,0.00035385,0.00044254,0.00040411,0.00050974,0.00046571,0.0005775
Point 148,,,,,,,0.00021196,0.00016632,0.00025872,0.0001778,0.00029414,0.00014182,0.00033642,0.00011326
Point 149,,,,,,,0.00023394,0.00016702,0.00028616,0.0001785,0.00033502,0.00014182,0.00038346,0.00011298
Point 150,,,,,,,0.00024206,0.00018172,0.00029792,0.00019782,0.00035154,0.00016674,0.00040306,0.00014658
Point 151,,,,,,,0.00025858,0.00018284,0.00031766,0.0002009,0.00037842,0.00017122,0.00043274,0.0001505
Point 152,,,,,,,0.00027426,0.00017696,0.00033782,0.00019292,0.00039998,0.00015974,0.00045878,0.0001379
Point 153,,,,,,,0.00027566,0.00018606,0.00033936,0.00020552,0.00040306,0.00017598,0.00046326,0.00015694
Point 154,,,,,,,0.0002142,0.00019628,0.0002618,0.0002184,0.00029988,0.00019614,0.00033684,0.00017654
Point 155,,,,,,,0.0002142,0.00021014,0.0002618,0.0002387,0.00029624,0.00022386,0.00032928,0.00021882
Point 156,,,,,,,0.00023338,0.00019264,0.00028742,0.00021336,0.00033796,0.00018718,0.00038332,0.00017178
Point 157,,,,,,,0.00021896,0.00021336,0.00026768,0.00024332,0.00030464,0.00022862,0.00033348,0.00022386
Point 158,,,,,,,0.00021826,0.00022694,0.00026768,0.00026292,0.00030282,0.00025494,0.00032746,0.00026026
Point 159,,,,,,,0.00024472,0.00022288,0.00030212,0.00025634,0.00035504,0.00024626,0.00040208,0.0002429
Point 160,,,,,,,0.00021378,0.00024066,0.00026208,0.00027972,0.00029386,0.00027594,0.0003157,0.00028126
Point 161,,,,,,,0.00022554,0.00023688,0.00027734,0.00027566,0.00031626,0.00027118,0.00034762,0.00027594
Point 162,,,,,,,0.0002128,0.00025466,0.00026194,0.00030002,0.00029204,0.00029946,0.000315,0.0003059
Point 163,,,,,,,0.00022554,0.0002541,0.00027776,0.00029918,0.0003157,0.0002996,0.00034902,0.000308
Point 164,,,,,,,0.00022638,0.0002555,0.0002786,0.00030058,0.00031668,0.00030198,0.00035,0.00031038
